id	file	offset_hex	category	kind	width	height	bpp
8	009cde4_240x56.png	0x9cde4	ui_text	tilemapped	240	56	4
14	00a27f0_96x16.png	0xa27f0	ui_text	linear	96	16	4
15	00a29c8_96x16.png	0xa29c8	ui_text	linear	96	16	4
17	00a2c18_64x128.png	0xa2c18	ui_text	linear	64	128	4
149	00fd114_16x16.png	0xfd114	font_glyphs	linear	16	16	4
150	00fd198_16x16.png	0xfd198	font_glyphs	linear	16	16	4
151	00fd218_16x16.png	0xfd218	font_glyphs	linear	16	16	4
152	00fd270_16x16.png	0xfd270	font_glyphs	linear	16	16	4
153	00fd2ec_16x16.png	0xfd2ec	font_glyphs	linear	16	16	4
154	00fd368_16x16.png	0xfd368	font_glyphs	linear	16	16	4
155	00fd3ec_16x16.png	0xfd3ec	font_glyphs	linear	16	16	4
156	00fd464_16x16.png	0xfd464	font_glyphs	linear	16	16	4
157	00fd4e0_16x16.png	0xfd4e0	font_glyphs	linear	16	16	4
158	00fd55c_16x16.png	0xfd55c	font_glyphs	linear	16	16	4
159	00fd5b4_16x16.png	0xfd5b4	font_glyphs	linear	16	16	4
160	00fd638_16x16.png	0xfd638	font_glyphs	linear	16	16	4
161	00fd6b8_16x16.png	0xfd6b8	font_glyphs	linear	16	16	4
162	00fd73c_16x16.png	0xfd73c	font_glyphs	linear	16	16	4
163	00fd7b4_16x16.png	0xfd7b4	font_glyphs	linear	16	16	4
164	00fd834_16x16.png	0xfd834	font_glyphs	linear	16	16	4
165	00fd8a8_16x16.png	0xfd8a8	font_glyphs	linear	16	16	4
166	00fd924_16x16.png	0xfd924	font_glyphs	linear	16	16	4
167	00fd9a8_16x16.png	0xfd9a8	font_glyphs	linear	16	16	4
168	00fda28_16x16.png	0xfda28	font_glyphs	linear	16	16	4
169	00fdaa8_16x16.png	0xfdaa8	font_glyphs	linear	16	16	4
170	00fdb2c_16x16.png	0xfdb2c	font_glyphs	linear	16	16	4
171	00fdbac_16x16.png	0xfdbac	font_glyphs	linear	16	16	4
172	00fdc20_16x16.png	0xfdc20	font_glyphs	linear	16	16	4
173	00fdca0_16x16.png	0xfdca0	font_glyphs	linear	16	16	4
174	00fdd18_16x16.png	0xfdd18	font_glyphs	linear	16	16	4
175	00fdd98_16x16.png	0xfdd98	font_glyphs	linear	16	16	4
176	00fde14_16x16.png	0xfde14	font_glyphs	linear	16	16	4
177	00fde94_16x16.png	0xfde94	font_glyphs	linear	16	16	4
178	00fdf14_16x16.png	0xfdf14	font_glyphs	linear	16	16	4
179	00fdf98_16x16.png	0xfdf98	font_glyphs	linear	16	16	4
180	00fe018_16x16.png	0xfe018	font_glyphs	linear	16	16	4
181	00fe08c_16x16.png	0xfe08c	font_glyphs	linear	16	16	4
182	00fe110_16x16.png	0xfe110	font_glyphs	linear	16	16	4
183	00fe194_16x16.png	0xfe194	font_glyphs	linear	16	16	4
184	00fe21c_16x16.png	0xfe21c	font_glyphs	linear	16	16	4
185	00fe2a0_16x16.png	0xfe2a0	font_glyphs	linear	16	16	4
186	00fe328_16x16.png	0xfe328	font_glyphs	linear	16	16	4
187	00fe3a4_16x16.png	0xfe3a4	font_glyphs	linear	16	16	4
188	00fe42c_16x16.png	0xfe42c	font_glyphs	linear	16	16	4
189	00fe4b0_16x16.png	0xfe4b0	font_glyphs	linear	16	16	4
190	00fe534_16x16.png	0xfe534	font_glyphs	linear	16	16	4
191	00fe5b4_16x16.png	0xfe5b4	font_glyphs	linear	16	16	4
192	00fe638_16x16.png	0xfe638	font_glyphs	linear	16	16	4
193	00fe6bc_16x16.png	0xfe6bc	font_glyphs	linear	16	16	4
194	00fe744_16x16.png	0xfe744	font_glyphs	linear	16	16	4
195	00fe7c0_16x16.png	0xfe7c0	font_glyphs	linear	16	16	4
196	00fe840_16x16.png	0xfe840	font_glyphs	linear	16	16	4
197	00fe8c4_16x16.png	0xfe8c4	font_glyphs	linear	16	16	4
198	00fe948_16x16.png	0xfe948	font_glyphs	linear	16	16	4
199	00fe9cc_16x16.png	0xfe9cc	font_glyphs	linear	16	16	4
200	00fea44_16x16.png	0xfea44	font_glyphs	linear	16	16	4
413	01197a8_256x256.png	0x1197a8	ui_text	tilemapped	256	256	4
415	0ab43a4_240x160.png	0xab43a4	ui_text	tilemapped	240	160	4
416	0ab5c4c_240x160.png	0xab5c4c	ui_text	tilemapped	240	160	4
417	0ab7630_240x160.png	0xab7630	ui_text	tilemapped	240	160	4
435	0ab9718_64x32.png	0xab9718	ui_text	linear	64	32	4
510	0aca74c_456x32.png	0xaca74c	ui_text	tilemapped	456	32	4
512	0acbbac_240x160.png	0xacbbac	ui_text	tilemapped	240	160	4
518	0ad093c_240x160.png	0xad093c	ui_text	linear	240	160	8
519	0ad1614_240x160.png	0xad1614	ui_text	linear	240	160	8
520	0ad2ecc_240x160.png	0xad2ecc	ui_text	linear	240	160	8
521	0ad477c_240x160.png	0xad477c	ui_text	linear	240	160	8
522	0ad6124_240x160.png	0xad6124	ui_text	linear	240	160	8
525	0adba94_256x256.png	0xadba94	ui_text	linear	256	256	8
607	0ae9be4_64x32.png	0xae9be4	text_fragments	linear	64	32	8
608	0aea088_32x32.png	0xaea088	text_fragments	linear	32	32	8
609	0aea350_64x32.png	0xaea350	text_fragments	linear	64	32	8
610	0aea81c_32x32.png	0xaea81c	text_fragments	linear	32	32	8
611	0aeaae4_64x32.png	0xaeaae4	text_fragments	linear	64	32	8
612	0aeaf8c_32x32.png	0xaeaf8c	text_fragments	linear	32	32	8
613	0aeb25c_64x32.png	0xaeb25c	text_fragments	linear	64	32	8
614	0aeb6dc_32x32.png	0xaeb6dc	text_fragments	linear	32	32	8
615	0aeb9bc_64x32.png	0xaeb9bc	text_fragments	linear	64	32	8
616	0aebea0_32x32.png	0xaebea0	text_fragments	linear	32	32	8
617	0aec188_64x32.png	0xaec188	text_fragments	linear	64	32	8
618	0aec67c_32x32.png	0xaec67c	text_fragments	linear	32	32	8
619	0aec95c_64x32.png	0xaec95c	text_fragments	linear	64	32	8
620	0aece1c_32x32.png	0xaece1c	text_fragments	linear	32	32	8
621	0aed100_64x32.png	0xaed100	text_fragments	linear	64	32	8
622	0aed57c_32x32.png	0xaed57c	text_fragments	linear	32	32	8
623	0aed7e8_64x32.png	0xaed7e8	text_fragments	linear	64	32	8
624	0aedd28_32x32.png	0xaedd28	text_fragments	linear	32	32	8
625	0aee044_64x32.png	0xaee044	text_fragments	linear	64	32	8
626	0aee540_32x32.png	0xaee540	text_fragments	linear	32	32	8
627	0aee844_64x32.png	0xaee844	text_fragments	linear	64	32	8
628	0aeecd0_32x32.png	0xaeecd0	text_fragments	linear	32	32	8
629	0aeef78_64x32.png	0xaeef78	text_fragments	linear	64	32	8
630	0aef480_32x32.png	0xaef480	text_fragments	linear	32	32	8
640	0b01928_240x160.png	0xb01928	ui_text	linear	240	160	8
641	0b03b0c_240x160.png	0xb03b0c	ui_text	linear	240	160	8
642	0b05f54_240x160.png	0xb05f54	ui_text	linear	240	160	8
643	0b07f28_240x160.png	0xb07f28	ui_text	linear	240	160	8
649	0b0dfec_240x160.png	0xb0dfec	ui_text	linear	240	160	8
650	0b0fa58_240x160.png	0xb0fa58	ui_text	linear	240	160	8
651	0b12550_240x160.png	0xb12550	ui_text	linear	240	160	8
652	0b14bc4_240x160.png	0xb14bc4	ui_text	linear	240	160	8
653	0b1815c_240x160.png	0xb1815c	ui_text	linear	240	160	8
654	0b1ae5c_240x160.png	0xb1ae5c	ui_text	linear	240	160	8
655	0b1e6f8_240x160.png	0xb1e6f8	ui_text	linear	240	160	8
656	0b215d4_240x160.png	0xb215d4	ui_text	linear	240	160	8
657	0b25338_240x160.png	0xb25338	ui_text	linear	240	160	8
658	0b274d8_240x160.png	0xb274d8	ui_text	linear	240	160	8
659	0b2be2c_240x160.png	0xb2be2c	ui_text	linear	240	160	8
660	0b2fbb8_240x160.png	0xb2fbb8	ui_text	linear	240	160	8
661	0b32c64_240x160.png	0xb32c64	ui_text	linear	240	160	8
662	0b36c60_240x160.png	0xb36c60	ui_text	linear	240	160	8
663	0b388f4_240x160.png	0xb388f4	ui_text	linear	240	160	8
669	0b452a4_96x320.png	0xb452a4	ui_text	linear	96	320	8
