원문	빈도	분류	붙는 호칭	겹치는 표기	번역	비고
ゲマ	838	인물	さんx1	ブラックゲマゲマ ブラゲマ ゲマゲマ団 ゲマコイン	게마	나무위키. 어미 ゲマ와 동형 — 문맥 구분 필요
でじこ	448	인물	さんx4 ちゃんx9 さまx2 様x4		데지코	나무위키
店長	238	호칭	さんx112		점장	플레이어 호칭. 店長さん → '점장 씨'(사용자 확정)
ぴよこ	164	인물	さんx1 様x2		삐요코	나무위키
ゲーマーズ	141	조직/장소		ブラックゲーマーズ	게이머즈	실존 상점 Gamers
うさだ	117	인물	さんx3	うさだヒカル うさだあかり	우사다	나무위키
ぷちこ	106	인물	ちゃんx1		푸치코	나무위키
店長カード	74	게임용어			점장 카드	
成功	63	게임용어			성공	룰렛 결과. 【成功】 → 【성공】
ピョコラ	62	인물	さまx39 様x22		뾰콜라	나무위키(ピョコラ・アナログ3世=뾰콜라 아날로그 3세)
暴発	60	게임용어			오발	룰렛 실패 결과(成功의 반대). 【暴発】 → 【오발】 — 검토 필요
会員	52	게임용어			회원	점원 업무 종류
ターボ	48	게임용어			터보	
よびこみ	44	게임용어			호객	점원 업무 종류
ルーレット	43	게임용어			룰렛	
仕事カード	31	게임용어			업무 카드	
グッズ	29	게임용어			굿즈	
ゲマゲマ団	28	조직		ゲマ	게마게마단	
カイ	27	인물	さまx2		카이	나무위키(カイ・シュヴァイツァー=카이 슈바이처)
リク	26	인물	さまx1		리쿠	나무위키(リク・ハイゼンベルク=리쿠 하이젠베르크)
ブラックゲマゲマ	26	조직		ゲマ	블랙 게마게마	
ゲマコイン	26	게임용어		ゲマ	게마 코인	
クウ	25	인물	さまx1		쿠우	나무위키(クウ・エアハルト=쿠우 에어하르트)
ブラゲマ	25	조직		ゲマ	브라게마	원문이 줄인 약칭 → 번역도 줄임
店長しゃん	25	호칭			점장 씨	でじこ의 혐서리 발음(さん→しゃん). 한국어로 혐서리를 재현할 수단이 없어 さん과 같게 처리
販売	25	게임용어			판매	점원 업무 종류
人気	24	게임용어			인기	가게 능력치
コスト	22	게임용어			코스트	
ブラックゲーマーズ	21	조직/장소		ゲーマーズ	블랙 게이머즈	
整とん	21	게임용어			정돈	점원 업무 종류
お手伝い	21	게임용어			도우미	『お手伝い』 카드
金額	20	게임용어			금액	가게 능력치
おジャマ	16	게임용어			방해	おジャマカード = 방해 카드
ミルフィーユ	11	인물			밀피유	갤럭시 엔젤 프로젝트 확정 표기와 일치
さぼり	11	게임용어			사복	『さぼり』 카드
福笑い	8	미니게임			후쿠와라이	ふくわらい의 한자 표기
デ・ジ・キャラット	7	인물			디지캐럿	でじこ의 정식 이름. 나무위키 표기 기준(・ 미유지)
うさだあかり	6	인물		うさだ	우사다 아카리	게임 내 설정: 히카루의 사촌언니, 톱아이돌·대여배우
ラッキースター	5	고유명			럭키 스타	갤럭시 엔젤 프로젝트 확정 표기와 일치
ふくわらい	5	미니게임			후쿠와라이	설날 얼굴 맞추기 놀이. 복권·복웃음 아님
ワンダーランド	3	고유명			원더랜드	
プチ・キャラット	2	인물			푸치캐럿	ぷちこ의 정식 이름. 나무위키 표기 기준(・ 미유지)
ラ・ビ・アン・ローズ	2	인물			라비안 로즈	うさだ의 정식 이름. 사용자 확정: 나무위키 표기 우선(・ 미유지)
うさだヒカル	2	인물		うさだ	우사다 히카루	게임 내 설정: うさだ의 본명. うさだ라 부르면 화냄
エアハルト	1	인물			에어하르트	クウ의 성
神経衆弱	0	미니게임			신경쇠약	카드 짝 맞추기 게임의 이름
